 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  0.0000       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 70     First strip =  1
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.39846     Clsurf  =  -0.07647
     CYsurf  =  -0.02134     Cmsurf  =  -1.50534
     CDsurf  =   0.01162     Cnsurf  =  -0.00066
     CDisurf =   0.01162     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.78197     CDsurf  =   0.02278

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
   123  39.2646 -29.9494   1.6666   3.7494   2.0939   3.0776   0.0313   1.0919   0.8288  -0.0148   0.0000  -0.0603   0.2292    0.323
   124  39.6008 -30.4931   1.7142   3.6154   1.9264   2.9428   0.0342   1.0828   0.8219  -0.0150   0.0000  -0.0589   0.2265    0.322
   125  39.9208 -31.0107   1.7595   3.4878   1.7654   2.8050   0.0376   1.0699   0.8121  -0.0151   0.0000  -0.0572   0.2230    0.320
   126  40.2241 -31.5013   1.8024   3.3669   1.6109   2.6627   0.0411   1.0521   0.7986  -0.0151   0.0000  -0.0552   0.2183    0.319
   127  40.5101 -31.9637   1.8428   3.2529   1.4631   2.5142   0.0446   1.0283   0.7806  -0.0149   0.0000  -0.0528   0.2125    0.318
   128  40.7780 -32.3972   1.8807   3.1461   1.3219   2.3582   0.0475   0.9972   0.7570  -0.0143   0.0000  -0.0505   0.2054    0.317
   129  41.0275 -32.8007   1.9161   3.0466   1.1875   2.1942   0.0494   0.9580   0.7272  -0.0130   0.0000  -0.0489   0.1977    0.317
   130  41.2443 -33.1513   1.9467   2.9602   0.9321   2.0292   0.0497   0.9118   0.6921  -0.0113   0.0000  -0.0491   0.1903    0.321
   131  41.4296 -33.4511   1.9730   2.8863   0.8279   1.8658   0.0464   0.8600   0.6528  -0.0122   0.0000  -0.0521   0.1844    0.330
   132  41.8525 -33.7408   1.9984   2.6418   0.7761   1.6888   0.0421   2.8937   0.6443  -0.0007   0.0000  -0.0339   0.0836    0.303
   133  42.4709 -34.0170   2.0225   2.2558   0.5879   1.5210   0.0525   3.0728   0.6841  -0.0376   0.0000  -0.0228   0.0830    0.283
   134  43.0147 -34.2599   2.0438   1.9163   0.4349   1.3505   0.0649   3.2245   0.7179  -0.0623   0.0000  -0.0136   0.0827    0.269
   135  43.4828 -34.4691   2.0621   1.6240   0.3131   1.1731   0.0800   3.3177   0.7387  -0.0861   0.0000  -0.0016   0.0798    0.252
   136  43.8744 -34.6440   2.0774   1.3796   0.2184   0.9846   0.0948   3.2925   0.7331  -0.1109   0.0000   0.0161   0.0718    0.228
   137  44.1886 -34.7843   2.0896   1.1834   0.1461   0.7826   0.1064   3.0694   0.6834  -0.1359   0.0000   0.0383   0.0572    0.194
   138  44.4248 -34.8899   2.0989   1.0359   0.0915   0.5682   0.1139   2.5697   0.5721  -0.1552   0.0000   0.0559   0.0378    0.152
   139  44.5826 -34.9603   2.1050   0.9375   0.0498   0.3446   0.1182   1.7500   0.3896  -0.1533   0.0000   0.0538   0.0188    0.112
   140  44.6615 -34.9956   2.1081   0.8882   0.0157   0.1155   0.1206   0.6441   0.1434  -0.0986   0.0000   0.0228   0.0051    0.091

  Surface # 3     horizontal_stabilizer                   
     # Chordwise = 10   # Spanwise = 70     First strip =141
     Surface area Ssurf =   33.045236     Ave. chord Cave =    3.385454

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.01441     Clsurf  =  -0.00097
     CYsurf  =  -0.00157     Cmsurf  =  -0.10171
     CDsurf  =   0.00122     Cnsurf  =   0.00126
     CDisurf =   0.00122     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.21513     CDsurf  =   0.01809

 Strip Forces referred to Strip Area, Chord
